Path Length,States Explored,Total Time,Method,Maze File
7,7,4.00543212890625e-05,astar,./maps_full/p1/p_tinyMaze.txt
7,13,2.288818359375e-05,bfs,./maps_full/p1/p_tinyMaze.txt
9,14,3.1948089599609375e-05,astar,./maps_full/p1/tinyMaze.txt
9,15,2.09808349609375e-05,bfs,./maps_full/p1/tinyMaze.txt
55,483,0.0012557506561279297,astar,./maps_full/p1/p_openMaze.txt
55,629,0.0007150173187255859,bfs,./maps_full/p1/p_openMaze.txt
95,209,0.0006248950958251953,astar,./maps_full/p1/p_bigMaze.txt
95,232,0.00026702880859375,bfs,./maps_full/p1/p_bigMaze.txt
55,517,0.0014412403106689453,astar,./maps_full/p1/openMaze.txt
55,682,0.000797271728515625,bfs,./maps_full/p1/openMaze.txt
69,220,0.0006241798400878906,astar,./maps_full/p1/mediumMaze.txt
69,269,0.00029397010803222656,bfs,./maps_full/p1/mediumMaze.txt
33,59,0.0001277923583984375,astar,./maps_full/p1/p_mediumMaze.txt
33,103,0.00011515617370605469,bfs,./maps_full/p1/p_mediumMaze.txt
211,548,0.0030128955841064453,astar,./maps_full/p1/bigMaze.txt
211,619,0.0007059574127197266,bfs,./maps_full/p1/bigMaze.txt
20,53,0.00011086463928222656,astar,./maps_full/p1/smallMaze.txt
20,92,0.00010585784912109375,bfs,./maps_full/p1/smallMaze.txt
17,31,6.580352783203125e-05,astar,./maps_full/p1/p_smallMaze.txt
17,81,8.988380432128906e-05,bfs,./maps_full/p1/p_smallMaze.txt
27,29,0.0006089210510253906,astar_corner,./maps_full/p2/p_tinyCorners.txt
193,1222,0.015625,astar_corner,./maps_full/p2/p_bigCorners.txt
29,43,0.0006086826324462891,astar_corner,./maps_full/p2/tinyCorners.txt
107,325,0.003570079803466797,astar_corner,./maps_full/p2/mediumCorners.txt
112,316,0.0035429000854492188,astar_corner,./maps_full/p2/p_mediumCorners.txt
163,336,0.008243083953857422,astar_corner,./maps_full/p2/bigCorners.txt
35,65,0.015887022018432617,astar_multi,./maps_full/p3/smallSearch.txt
39,82,0.020467758178710938,astar_multi,./maps_full/p3/p_small.txt
185,6955,0.5559649467468262,astar_multi,./maps_full/p3/p_medium.txt
169,2886,0.14531779289245605,astar_multi,./maps_full/p3/mediumSearch.txt
28,76,0.0053021907806396484,astar_multi,./maps_full/p3/p_tiny.txt
17,16,0.007044076919555664,astar_multi,./maps_full/p3/p_greedy.txt
17,17,0.004399299621582031,astar_multi,./maps_full/p3/greedySearch.txt
28,72,0.004395008087158203,astar_multi,./maps_full/p3/tinySearch.txt
75,90,0.05583810806274414,astar_multi,./maps_full/p3/mediumDottedMaze.txt
79,97,0.1399519443511963,astar_multi,./maps_full/p3/p_medium_dot.txt
217,109,0.00011181831359863281,fast,./maps_full/p4/mediumSearch_prev.txt
179,90,0.00010085105895996094,fast,./maps_full/p4/openSearch.txt
163,82,8.702278137207031e-05,fast,./maps_full/p4/p_odd.txt
211,106,0.00010704994201660156,fast,./maps_full/p4/p_medium_prev.txt
455,228,0.00041103363037109375,fast,./maps_full/p4/bigSearch.txt
2123,1062,0.001531839370727539,fast,./maps_full/p4/p_open.txt
103,52,5.1975250244140625e-05,fast,./maps_full/p4/oddSearch.txt
691,346,0.0003998279571533203,fast,./maps_full/p4/p_big.txt
