Path Length,States Explored,Total Time,Method,Maze File
7,7,4.1961669921875e-05,astar,./maps_full/p1/p_tinyMaze.txt
7,13,2.3126602172851562e-05,bfs,./maps_full/p1/p_tinyMaze.txt
9,14,3.790855407714844e-05,astar,./maps_full/p1/tinyMaze.txt
9,15,2.2172927856445312e-05,bfs,./maps_full/p1/tinyMaze.txt
55,483,0.0013239383697509766,astar,./maps_full/p1/p_openMaze.txt
55,629,0.0007760524749755859,bfs,./maps_full/p1/p_openMaze.txt
95,209,0.0006909370422363281,astar,./maps_full/p1/p_bigMaze.txt
95,232,0.0002880096435546875,bfs,./maps_full/p1/p_bigMaze.txt
55,517,0.0015277862548828125,astar,./maps_full/p1/openMaze.txt
55,682,0.0008518695831298828,bfs,./maps_full/p1/openMaze.txt
69,220,0.0006668567657470703,astar,./maps_full/p1/mediumMaze.txt
69,269,0.0003159046173095703,bfs,./maps_full/p1/mediumMaze.txt
33,59,0.000141143798828125,astar,./maps_full/p1/p_mediumMaze.txt
33,103,0.000125885009765625,bfs,./maps_full/p1/p_mediumMaze.txt
211,548,0.0031812191009521484,astar,./maps_full/p1/bigMaze.txt
211,619,0.0006968975067138672,bfs,./maps_full/p1/bigMaze.txt
20,53,0.00010776519775390625,astar,./maps_full/p1/smallMaze.txt
20,92,0.00010418891906738281,bfs,./maps_full/p1/smallMaze.txt
17,31,7.009506225585938e-05,astar,./maps_full/p1/p_smallMaze.txt
17,81,9.107589721679688e-05,bfs,./maps_full/p1/p_smallMaze.txt
27,29,0.0006079673767089844,astar_corner,./maps_full/p2/p_tinyCorners.txt
193,1222,0.015480995178222656,astar_corner,./maps_full/p2/p_bigCorners.txt
29,43,0.0006330013275146484,astar_corner,./maps_full/p2/tinyCorners.txt
107,325,0.003735065460205078,astar_corner,./maps_full/p2/mediumCorners.txt
112,316,0.0035920143127441406,astar_corner,./maps_full/p2/p_mediumCorners.txt
163,336,0.007740020751953125,astar_corner,./maps_full/p2/bigCorners.txt
35,65,0.016709089279174805,astar_multi,./maps_full/p3/smallSearch.txt
39,82,0.021414756774902344,astar_multi,./maps_full/p3/p_small.txt
185,6955,0.5729711055755615,astar_multi,./maps_full/p3/p_medium.txt
169,2886,0.14815211296081543,astar_multi,./maps_full/p3/mediumSearch.txt
28,76,0.0052950382232666016,astar_multi,./maps_full/p3/p_tiny.txt
17,16,0.0071201324462890625,astar_multi,./maps_full/p3/p_greedy.txt
17,17,0.004422903060913086,astar_multi,./maps_full/p3/greedySearch.txt
28,72,0.0043179988861083984,astar_multi,./maps_full/p3/tinySearch.txt
75,90,0.05623006820678711,astar_multi,./maps_full/p3/mediumDottedMaze.txt
79,97,0.14240217208862305,astar_multi,./maps_full/p3/p_medium_dot.txt
217,109,0.00011301040649414062,fast,./maps_full/p4/mediumSearch_prev.txt
179,90,9.965896606445312e-05,fast,./maps_full/p4/openSearch.txt
163,82,8.320808410644531e-05,fast,./maps_full/p4/p_odd.txt
211,106,0.00010704994201660156,fast,./maps_full/p4/p_medium_prev.txt
455,228,0.00039386749267578125,fast,./maps_full/p4/bigSearch.txt
2123,1062,0.0015361309051513672,fast,./maps_full/p4/p_open.txt
103,52,5.984306335449219e-05,fast,./maps_full/p4/oddSearch.txt
691,346,0.0004050731658935547,fast,./maps_full/p4/p_big.txt
